route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
51,250901-MULTI-Weekday-01,24627264-250901-MULTI-Weekday-01,"51 HEREFORD WEST",1,1164084,510037,1,1
51,250901-MULTI-Weekday-01,24627265-250901-MULTI-Weekday-01,"51 HEREFORD WEST",1,1164084,510037,1,1
51,250901-MULTI-Weekday-01,24627266-250901-MULTI-Weekday-01,"51 HEREFORD EAST",0,1164084,510036,1,1
51,250901-MULTI-Weekday-01,24627267-250901-MULTI-Weekday-01,"51 HEREFORD EAST",0,1164084,510036,1,1
51,250901-MULTI-Weekday-01,24627268-250901-MULTI-Weekday-01,"51 HEREFORD EAST",0,1164084,510036,1,1
51,250901-MULTI-Weekday-01,24627269-250901-MULTI-Weekday-01,"51 HEREFORD EAST",0,1164084,510036,1,1
51,250901-MULTI-Weekday-01,24627270-250901-MULTI-Weekday-01,"51 HEREFORD EAST",0,1164084,510036,1,1
51,250901-MULTI-Weekday-01,24627271-250901-MULTI-Weekday-01,"51 HEREFORD EAST",0,1164084,510036,1,1
51,250901-MULTI-Weekday-01,24627272-250901-MULTI-Weekday-01,"51 HEREFORD EAST",0,1164085,510036,1,1
51,250901-MULTI-Weekday-01,24627273-250901-MULTI-Weekday-01,"51 HEREFORD EAST",0,1164084,510036,1,1
51,250901-MULTI-Weekday-01,24627274-250901-MULTI-Weekday-01,"51 HEREFORD EAST",0,1164084,510036,1,1
14,250901-MULTI-Weekday-01,24627275-250901-MULTI-Weekday-01,"14 TORBRAM SOUTH",1,1164255,140068,1,1
14,250901-MULTI-Weekday-01,24627276-250901-MULTI-Weekday-01,"14 TORBRAM NORTH",0,1164255,140077,1,1
14,250901-MULTI-Weekday-01,24627277-250901-MULTI-Weekday-01,"14A TORBRAM NORTH",0,1164255,140081,1,1
14,250901-MULTI-Weekday-01,24627278-250901-MULTI-Weekday-01,"14 TORBRAM SOUTH",1,1164256,140068,1,1
14,250901-MULTI-Weekday-01,24627279-250901-MULTI-Weekday-01,"14 TORBRAM NORTH",0,1164257,140077,1,1
14,250901-MULTI-Weekday-01,24627280-250901-MULTI-Weekday-01,"14 TORBRAM SOUTH",1,1164257,140068,1,1
14,250901-MULTI-Weekday-01,24627281-250901-MULTI-Weekday-01,"14 TORBRAM NORTH",0,1164259,140077,1,1
14,250901-MULTI-Weekday-01,24627282-250901-MULTI-Weekday-01,"14 TORBRAM NORTH",0,1164260,140077,1,1
14,250901-MULTI-Weekday-01,24627283-250901-MULTI-Weekday-01,"14A TORBRAM NORTH",0,1164256,140072,1,1
14,250901-MULTI-Weekday-01,24627284-250901-MULTI-Weekday-01,"14A TORBRAM NORTH",0,1164258,140071,1,1
17,250901-MULTI-Weekday-01,24627285-250901-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1164276,170022,1,1
17,250901-MULTI-Weekday-01,24627286-250901-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1164276,170022,1,1
17,250901-MULTI-Weekday-01,24627287-250901-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1164276,170022,1,1
17,250901-MULTI-Weekday-01,24627288-250901-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1164276,170022,1,1
17,250901-MULTI-Weekday-01,24627289-250901-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1164276,170022,1,1
17,250901-MULTI-Weekday-01,24627290-250901-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1164276,170022,1,1
17,250901-MULTI-Weekday-01,24627291-250901-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1164276,170022,1,1
17,250901-MULTI-Weekday-01,24627292-250901-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1164276,170022,1,1
17,250901-MULTI-Weekday-01,24627293-250901-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1164276,170022,1,1
17,250901-MULTI-Weekday-01,24627294-250901-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1164276,170022,1,1
17,250901-MULTI-Weekday-01,24627295-250901-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1164276,170022,1,1
17,250901-MULTI-Weekday-01,24627296-250901-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1164276,170022,1,1
17,250901-MULTI-Weekday-01,24627297-250901-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1164276,170022,1,1
17,250901-MULTI-Weekday-01,24627298-250901-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1164276,170022,1,1
17,250901-MULTI-Weekday-01,24627299-250901-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1164276,170022,1,1
17,250901-MULTI-Weekday-01,24627300-250901-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1164276,170022,1,1
17,250901-MULTI-Weekday-01,24627301-250901-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1164276,170022,1,1
17,250901-MULTI-Weekday-01,24627302-250901-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1164276,170023,1,1
17,250901-MULTI-Weekday-01,24627303-250901-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1164276,170023,1,1
17,250901-MULTI-Weekday-01,24627304-250901-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1164276,170022,1,1
17,250901-MULTI-Weekday-01,24627305-250901-MULTI-Weekday-01,"17 HOWDEN NORTH",0,1164276,170022,1,1
17,250901-MULTI-Weekday-01,24627306-250901-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1164276,170023,1,1
17,250901-MULTI-Weekday-01,24627307-250901-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1164276,170023,1,1
17,250901-MULTI-Weekday-01,24627308-250901-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1164276,170023,1,1
17,250901-MULTI-Weekday-01,24627309-250901-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1164276,170023,1,1
17,250901-MULTI-Weekday-01,24627310-250901-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1164276,170023,1,1
17,250901-MULTI-Weekday-01,24627311-250901-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1164276,170023,1,1
17,250901-MULTI-Weekday-01,24627312-250901-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1164276,170023,1,1
17,250901-MULTI-Weekday-01,24627313-250901-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1164276,170023,1,1
17,250901-MULTI-Weekday-01,24627314-250901-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1164276,170023,1,1
17,250901-MULTI-Weekday-01,24627315-250901-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1164276,170023,1,1
17,250901-MULTI-Weekday-01,24627316-250901-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1164276,170023,1,1
17,250901-MULTI-Weekday-01,24627317-250901-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1164276,170023,1,1
17,250901-MULTI-Weekday-01,24627318-250901-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1164276,170023,1,1
17,250901-MULTI-Weekday-01,24627319-250901-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1164276,170023,1,1
17,250901-MULTI-Weekday-01,24627320-250901-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1164276,170023,1,1
17,250901-MULTI-Weekday-01,24627321-250901-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1164276,170023,1,1
17,250901-MULTI-Weekday-01,24627322-250901-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1164276,170023,1,1
29,250901-MULTI-Weekday-01,24627325-250901-MULTI-Weekday-01,"29 WILLIAMS WEST",1,1166876,290058,1,1
29,250901-MULTI-Weekday-01,24627351-250901-MULTI-Weekday-01,"29 WILLIAMS EAST",0,1166870,290067,1,1
29,250901-MULTI-Weekday-01,24627362-250901-MULTI-Weekday-01,"29A WILLIAMS WEST",1,1166878,290065,1,1
29,250901-MULTI-Weekday-01,24627363-250901-MULTI-Weekday-01,"29 WILLIAMS WEST",1,1166879,290058,1,1
51,250901-MULTI-Weekday-01,24627406-250901-MULTI-Weekday-01,"51 HEREFORD EAST",0,1164085,510036,1,1
51,250901-MULTI-Weekday-01,24627407-250901-MULTI-Weekday-01,"51 HEREFORD WEST",1,1164085,510037,1,1
51,250901-MULTI-Weekday-01,24627408-250901-MULTI-Weekday-01,"51 HEREFORD WEST",1,1164085,510037,1,1
51,250901-MULTI-Weekday-01,24627409-250901-MULTI-Weekday-01,"51 HEREFORD EAST",0,1164085,510036,1,1
51,250901-MULTI-Weekday-01,24627410-250901-MULTI-Weekday-01,"51 HEREFORD EAST",0,1164085,510036,1,1
51,250901-MULTI-Weekday-01,24627411-250901-MULTI-Weekday-01,"51 HEREFORD EAST",0,1164085,510036,1,1
51,250901-MULTI-Weekday-01,24627412-250901-MULTI-Weekday-01,"51 HEREFORD WEST",1,1164085,510037,1,1
51,250901-MULTI-Weekday-01,24627413-250901-MULTI-Weekday-01,"51 HEREFORD WEST",1,1164085,510037,1,1
51,250901-MULTI-Weekday-01,24627414-250901-MULTI-Weekday-01,"51 HEREFORD EAST",0,1164085,510036,1,1
51,250901-MULTI-Weekday-01,24627415-250901-MULTI-Weekday-01,"51 HEREFORD WEST",1,1164085,510037,1,1
51,250901-MULTI-Weekday-01,24627416-250901-MULTI-Weekday-01,"51 HEREFORD EAST",0,1164085,510036,1,1
51,250901-MULTI-Weekday-01,24627417-250901-MULTI-Weekday-01,"51 HEREFORD EAST",0,1164085,510036,1,1
51,250901-MULTI-Weekday-01,24627418-250901-MULTI-Weekday-01,"51 HEREFORD EAST",0,1164085,510036,1,1
51,250901-MULTI-Weekday-01,24627419-250901-MULTI-Weekday-01,"51 HEREFORD WEST",1,1164085,510037,1,1
51,250901-MULTI-Weekday-01,24627420-250901-MULTI-Weekday-01,"51 HEREFORD WEST",1,1164085,510037,1,1
51,250901-MULTI-Weekday-01,24627421-250901-MULTI-Weekday-01,"51 HEREFORD WEST",1,1164085,510037,1,1
51,250901-MULTI-Weekday-01,24627422-250901-MULTI-Weekday-01,"51 HEREFORD WEST",1,1164085,510037,1,1
51,250901-MULTI-Weekday-01,24627423-250901-MULTI-Weekday-01,"51 HEREFORD WEST",1,1164085,510037,1,1
51,250901-MULTI-Weekday-01,24627424-250901-MULTI-Weekday-01,"51 HEREFORD WEST",1,1164085,510037,1,1
51,250901-MULTI-Weekday-01,24627425-250901-MULTI-Weekday-01,"51 HEREFORD WEST",1,1164085,510037,1,1
51,250901-MULTI-Weekday-01,24627426-250901-MULTI-Weekday-01,"51 HEREFORD WEST",1,1164085,510037,1,1
51,250901-MULTI-Weekday-01,24627427-250901-MULTI-Weekday-01,"51 HEREFORD WEST",1,1164085,510037,1,1
51,250901-MULTI-Weekday-01,24627428-250901-MULTI-Weekday-01,"51 HEREFORD WEST",1,1164085,510037,1,1
51,250901-MULTI-Weekday-01,24627429-250901-MULTI-Weekday-01,"51 HEREFORD EAST",0,1164085,510036,1,1
51,250901-MULTI-Weekday-01,24627430-250901-MULTI-Weekday-01,"51 HEREFORD EAST",0,1164085,510036,1,1
51,250901-MULTI-Weekday-01,24627431-250901-MULTI-Weekday-01,"51 HEREFORD EAST",0,1164085,510036,1,1
51,250901-MULTI-Weekday-01,24627432-250901-MULTI-Weekday-01,"51 HEREFORD EAST",0,1164085,510036,1,1
51,250901-MULTI-Weekday-01,24627433-250901-MULTI-Weekday-01,"51 HEREFORD EAST",0,1164085,510036,1,1
56,250901-MULTI-Weekday-01,24627434-250901-MULTI-Weekday-01,"56 KINGKNOLL LOOP",1,1164287,560029,1,1
56,250901-MULTI-Weekday-01,24627435-250901-MULTI-Weekday-01,"56 KINGKNOLL LOOP",1,1164287,560029,1,1
56,250901-MULTI-Weekday-01,24627436-250901-MULTI-Weekday-01,"56 KINGKNOLL LOOP",1,1164287,560029,1,1
56,250901-MULTI-Weekday-01,24627437-250901-MULTI-Weekday-01,"56 KINGKNOLL LOOP",1,1164287,560029,1,1
27,250901-MULTI-Weekday-01,24627438-250901-MULTI-Weekday-01,"27 ROBERT PARKINSON NORTH",0,1164081,270008,1,1
27,250901-MULTI-Weekday-01,24627439-250901-MULTI-Weekday-01,"27 ROBERT PARKINSON NORTH",0,1164081,270008,1,1
27,250901-MULTI-Weekday-01,24627440-250901-MULTI-Weekday-01,"27 ROBERT PARKINSON NORTH",0,1164081,270008,1,1
27,250901-MULTI-Weekday-01,24627441-250901-MULTI-Weekday-01,"27 ROBERT PARKINSON NORTH",0,1164081,270008,1,1
27,250901-MULTI-Weekday-01,24627442-250901-MULTI-Weekday-01,"27 ROBERT PARKINSON NORTH",0,1164081,270008,1,1
27,250901-MULTI-Weekday-01,24627443-250901-MULTI-Weekday-01,"27 ROBERT PARKINSON NORTH",0,1164081,270008,1,1
27,250901-MULTI-Weekday-01,24627444-250901-MULTI-Weekday-01,"27 ROBERT PARKINSON NORTH",0,1164081,270008,1,1
27,250901-MULTI-Weekday-01,24627445-250901-MULTI-Weekday-01,"27 ROBERT PARKINSON NORTH",0,1164081,270008,1,1
27,250901-MULTI-Weekday-01,24627446-250901-MULTI-Weekday-01,"27 ROBERT PARKINSON NORTH",0,1164081,270008,1,1
27,250901-MULTI-Weekday-01,24627447-250901-MULTI-Weekday-01,"27 ROBERT PARKINSON NORTH",0,1164081,270008,1,1
27,250901-MULTI-Weekday-01,24627448-250901-MULTI-Weekday-01,"27 ROBERT PARKINSON NORTH",0,1164081,270008,1,1
27,250901-MULTI-Weekday-01,24627449-250901-MULTI-Weekday-01,"27 ROBERT PARKINSON NORTH",0,1164081,270008,1,1
